Episode: 1 | Reward: 145.11672698945364 | Polciy Loss: -33.207157135009766 | Batches: 1954
Episode: 2 | Reward: -190.79393879249727 | Polciy Loss: -54.2573356628418 | Batches: 3908
Episode: 3 | Reward: -495.20660103599465 | Polciy Loss: -74.99440002441406 | Batches: 5862
Episode: 4 | Reward: -326.11937441455126 | Polciy Loss: -99.59022521972656 | Batches: 7816
Episode: 5 | Reward: -609.7379651921983 | Polciy Loss: -121.19701385498047 | Batches: 9770
Episode: 6 | Reward: -852.1569420082275 | Polciy Loss: -136.30360412597656 | Batches: 11724
Episode: 7 | Reward: -279.24962933731 | Polciy Loss: -149.64366149902344 | Batches: 13678
Episode: 8 | Reward: -299.78999142832436 | Polciy Loss: -158.7726593017578 | Batches: 15632
Episode: 9 | Reward: -243.75930400576166 | Polciy Loss: -172.3495330810547 | Batches: 17586
Episode: 10 | Reward: -182.26842121406372 | Polciy Loss: -172.72128295898438 | Batches: 19540
Episode: 11 | Reward: -6.895100827741464 | Polciy Loss: -183.22589111328125 | Batches: 21494
Episode: 12 | Reward: -191.34435975022427 | Polciy Loss: -184.7603302001953 | Batches: 23448
Episode: 13 | Reward: -15.825089231293845 | Polciy Loss: -189.79393005371094 | Batches: 25402
Episode: 14 | Reward: -12.90952979579696 | Polciy Loss: -188.74000549316406 | Batches: 27356
Episode: 15 | Reward: 156.3197247000329 | Polciy Loss: -194.74398803710938 | Batches: 29310
Episode: 16 | Reward: 49.423319723872524 | Polciy Loss: -197.91024780273438 | Batches: 31264
Episode: 17 | Reward: 426.7173029417577 | Polciy Loss: -201.84439086914062 | Batches: 33218
Episode: 18 | Reward: 53.65037492859128 | Polciy Loss: -199.78604125976562 | Batches: 35172
Episode: 19 | Reward: 345.889144771005 | Polciy Loss: -202.410888671875 | Batches: 37126
Episode: 20 | Reward: 833.4656536038323 | Polciy Loss: -201.06622314453125 | Batches: 39080
Episode: 21 | Reward: 529.5341017119579 | Polciy Loss: -199.31741333007812 | Batches: 41034
Episode: 22 | Reward: 641.7360537925354 | Polciy Loss: -199.73716735839844 | Batches: 42988
Episode: 23 | Reward: 117.60903899360888 | Polciy Loss: -207.76446533203125 | Batches: 44942
Episode: 24 | Reward: 337.90053772738867 | Polciy Loss: -199.94288635253906 | Batches: 46896
Episode: 25 | Reward: 292.2551828028618 | Polciy Loss: -203.87655639648438 | Batches: 48850
Episode: 26 | Reward: 582.4017787918535 | Polciy Loss: -199.93325805664062 | Batches: 50804
Episode: 27 | Reward: 87.8111430823786 | Polciy Loss: -200.43995666503906 | Batches: 52758
Episode: 28 | Reward: 520.5713495595076 | Polciy Loss: -198.10971069335938 | Batches: 54712
[34m[1mwandb[0m: [33mWARNING[0m Fatal error while uploading data. Some run data will not be synced, but it will still be written to disk. Use `wandb sync` at the end of the run to try uploading.
Episode: 29 | Reward: 558.6914797273635 | Polciy Loss: -198.222412109375 | Batches: 56666
Episode: 30 | Reward: 1297.9343110350178 | Polciy Loss: -192.7552947998047 | Batches: 58620
Episode: 31 | Reward: 2300.8197118701296 | Polciy Loss: -196.43820190429688 | Batches: 60574
Episode: 32 | Reward: 788.273305686347 | Polciy Loss: -193.19281005859375 | Batches: 62528
Episode: 33 | Reward: 330.41941033563427 | Polciy Loss: -198.51463317871094 | Batches: 64482
Episode: 34 | Reward: 1474.8253024703329 | Polciy Loss: -189.2169647216797 | Batches: 66436
Episode: 35 | Reward: 1064.2515667411458 | Polciy Loss: -191.65713500976562 | Batches: 68390
Episode: 36 | Reward: 1123.4930727609037 | Polciy Loss: -189.1785430908203 | Batches: 70344
Episode: 37 | Reward: 2034.5587274099812 | Polciy Loss: -189.4394989013672 | Batches: 72298
Episode: 38 | Reward: 3500.5929023019066 | Polciy Loss: -192.38742065429688 | Batches: 74252
Episode: 39 | Reward: 2846.7689419859807 | Polciy Loss: -189.1096649169922 | Batches: 76206
Episode: 40 | Reward: 1961.8398728895386 | Polciy Loss: -189.91578674316406 | Batches: 78160
Episode: 41 | Reward: 2621.91662282731 | Polciy Loss: -187.83151245117188 | Batches: 80114
Episode: 42 | Reward: 2325.541287128073 | Polciy Loss: -182.88864135742188 | Batches: 82068
Episode: 43 | Reward: 4486.411164010672 | Polciy Loss: -188.45761108398438 | Batches: 84022
Episode: 44 | Reward: 4599.684663116781 | Polciy Loss: -183.84414672851562 | Batches: 85976
Episode: 45 | Reward: 5695.364429938711 | Polciy Loss: -186.2277069091797 | Batches: 87930
Episode: 46 | Reward: 4324.339077277307 | Polciy Loss: -179.70584106445312 | Batches: 89884
Episode: 47 | Reward: 4291.629314729085 | Polciy Loss: -184.56610107421875 | Batches: 91838
Episode: 48 | Reward: 5130.277161143723 | Polciy Loss: -184.54042053222656 | Batches: 93792
Episode: 49 | Reward: 5788.583534823428 | Polciy Loss: -178.0363006591797 | Batches: 95746
Episode: 50 | Reward: 4690.4949612141045 | Polciy Loss: -183.27532958984375 | Batches: 97700
Episode: 51 | Reward: 4106.925484756096 | Polciy Loss: -178.54664611816406 | Batches: 99654
Episode: 52 | Reward: 3347.0707456039554 | Polciy Loss: -180.60546875 | Batches: 101608
Episode: 53 | Reward: 4278.385131927882 | Polciy Loss: -177.5685272216797 | Batches: 103562
Episode: 54 | Reward: 4266.346379971112 | Polciy Loss: -174.39161682128906 | Batches: 105516
Episode: 55 | Reward: 3737.434307813494 | Polciy Loss: -174.34239196777344 | Batches: 107470
Episode: 56 | Reward: 4854.301295498531 | Polciy Loss: -178.7154541015625 | Batches: 109424
Episode: 57 | Reward: 5572.067240530023 | Polciy Loss: -177.11058044433594 | Batches: 111378
Episode: 58 | Reward: 5280.014619363656 | Polciy Loss: -174.0460662841797 | Batches: 113332
Episode: 59 | Reward: 3742.581267766079 | Polciy Loss: -173.14553833007812 | Batches: 115286
Episode: 60 | Reward: 5742.260525793676 | Polciy Loss: -174.20095825195312 | Batches: 117240
Episode: 61 | Reward: 5937.905502949778 | Polciy Loss: -174.338134765625 | Batches: 119194
Episode: 62 | Reward: 4988.88925869113 | Polciy Loss: -175.00108337402344 | Batches: 121148
Episode: 63 | Reward: 5144.424499732444 | Polciy Loss: -174.8587646484375 | Batches: 123102
Episode: 64 | Reward: 5853.950274899982 | Polciy Loss: -177.8525390625 | Batches: 125056
Episode: 65 | Reward: 5987.376357487631 | Polciy Loss: -172.03179931640625 | Batches: 127010
Episode: 66 | Reward: 5776.818781197437 | Polciy Loss: -172.39732360839844 | Batches: 128964
Episode: 67 | Reward: 5051.467456817765 | Polciy Loss: -174.7108917236328 | Batches: 130918
Episode: 68 | Reward: 5909.845387791791 | Polciy Loss: -170.65826416015625 | Batches: 132872
Episode: 69 | Reward: 4738.521729709661 | Polciy Loss: -170.74403381347656 | Batches: 134826
Episode: 70 | Reward: 5924.776135299821 | Polciy Loss: -170.12388610839844 | Batches: 136780
Episode: 71 | Reward: 6020.759203242555 | Polciy Loss: -163.60263061523438 | Batches: 138734
Episode: 72 | Reward: 5943.350955092406 | Polciy Loss: -167.27044677734375 | Batches: 140688
Episode: 73 | Reward: 5842.011645203718 | Polciy Loss: -172.03005981445312 | Batches: 142642
Episode: 74 | Reward: 5941.822465017527 | Polciy Loss: -170.6225128173828 | Batches: 144596
Episode: 75 | Reward: 5842.42859633664 | Polciy Loss: -169.7376251220703 | Batches: 146550
Episode: 76 | Reward: 5898.668425006545 | Polciy Loss: -170.32215881347656 | Batches: 148504
Episode: 77 | Reward: 5897.423525041908 | Polciy Loss: -163.8753204345703 | Batches: 150458
Episode: 78 | Reward: 5923.400552183766 | Polciy Loss: -171.826171875 | Batches: 152412
Episode: 79 | Reward: 5871.235849562968 | Polciy Loss: -167.85794067382812 | Batches: 154366
Episode: 80 | Reward: 5932.077869122095 | Polciy Loss: -168.52464294433594 | Batches: 156320
Episode: 81 | Reward: 5721.21422475932 | Polciy Loss: -168.18399047851562 | Batches: 158274
Episode: 82 | Reward: 5974.104554775772 | Polciy Loss: -165.6175537109375 | Batches: 160228
Episode: 83 | Reward: 6073.374691204683 | Polciy Loss: -166.94117736816406 | Batches: 162182
Episode: 84 | Reward: 5941.859978229858 | Polciy Loss: -167.30477905273438 | Batches: 164136
Episode: 85 | Reward: 5997.747247345605 | Polciy Loss: -166.65371704101562 | Batches: 166090
Episode: 86 | Reward: 6032.661187871416 | Polciy Loss: -167.4242401123047 | Batches: 168044
Episode: 87 | Reward: 6057.275208120294 | Polciy Loss: -168.150390625 | Batches: 169998
Episode: 88 | Reward: 6167.225216403584 | Polciy Loss: -164.64996337890625 | Batches: 171952
Episode: 89 | Reward: 5595.494260655801 | Polciy Loss: -166.89163208007812 | Batches: 173906
Episode: 90 | Reward: 5926.61219405553 | Polciy Loss: -164.8458709716797 | Batches: 175860
Episode: 91 | Reward: 5862.52994293397 | Polciy Loss: -167.7808074951172 | Batches: 177814
