Episode: 1 | Reward: 51.46889669407235 | Policy Loss: -33.14208221435547 | Batches: 1954
Episode: 2 | Reward: -225.99519430999757 | Policy Loss: -53.45790481567383 | Batches: 3908
Episode: 3 | Reward: -551.9228339483494 | Policy Loss: -73.46666717529297 | Batches: 5862
Episode: 4 | Reward: -505.0943299358352 | Policy Loss: -97.36466217041016 | Batches: 7816
Episode: 5 | Reward: -799.0930159373218 | Policy Loss: -119.62737274169922 | Batches: 9770
Episode: 6 | Reward: -823.7523564485134 | Policy Loss: -131.52645874023438 | Batches: 11724
Episode: 7 | Reward: -153.03174887905055 | Policy Loss: -147.453857421875 | Batches: 13678
Episode: 8 | Reward: -251.20341767637524 | Policy Loss: -161.07716369628906 | Batches: 15632
Episode: 9 | Reward: -220.01114608480574 | Policy Loss: -169.49224853515625 | Batches: 17586
Episode: 10 | Reward: -170.453760702195 | Policy Loss: -174.6630859375 | Batches: 19540
Episode: 11 | Reward: -248.87344008414144 | Policy Loss: -181.1986083984375 | Batches: 21494
Episode: 12 | Reward: -115.14328073298319 | Policy Loss: -186.90528869628906 | Batches: 23448
Episode: 13 | Reward: -214.64113475000923 | Policy Loss: -188.35784912109375 | Batches: 25402
Episode: 14 | Reward: -297.7955426019413 | Policy Loss: -192.48756408691406 | Batches: 27356
Episode: 15 | Reward: -126.97993743110017 | Policy Loss: -198.86338806152344 | Batches: 29310
Episode: 16 | Reward: -4.132007589862428 | Policy Loss: -198.88638305664062 | Batches: 31264
Episode: 17 | Reward: -102.38760671703437 | Policy Loss: -196.6513671875 | Batches: 33218
Episode: 18 | Reward: 344.8241080896958 | Policy Loss: -199.0718536376953 | Batches: 35172
Episode: 19 | Reward: 297.5422615886372 | Policy Loss: -205.48257446289062 | Batches: 37126
Episode: 20 | Reward: 320.96629608975957 | Policy Loss: -204.19004821777344 | Batches: 39080
Episode: 21 | Reward: 137.16534980586698 | Policy Loss: -203.3542938232422 | Batches: 41034
Episode: 22 | Reward: 388.79802512340643 | Policy Loss: -198.85903930664062 | Batches: 42988
Episode: 23 | Reward: -157.35588954972414 | Policy Loss: -204.98477172851562 | Batches: 44942
Episode: 24 | Reward: 708.1238277400402 | Policy Loss: -203.11949157714844 | Batches: 46896
Episode: 25 | Reward: 1001.6740923737173 | Policy Loss: -202.60720825195312 | Batches: 48850
Episode: 26 | Reward: 593.5706675931938 | Policy Loss: -198.77578735351562 | Batches: 50804
Episode: 27 | Reward: 1174.201423836715 | Policy Loss: -206.4446258544922 | Batches: 52758
Episode: 28 | Reward: 1925.6880620896204 | Policy Loss: -202.0211181640625 | Batches: 54712
Episode: 29 | Reward: 1304.928015480151 | Policy Loss: -202.74819946289062 | Batches: 56666
Episode: 30 | Reward: 615.8229255065564 | Policy Loss: -198.72543334960938 | Batches: 58620
Episode: 31 | Reward: 382.78513251218067 | Policy Loss: -198.78558349609375 | Batches: 60574
Episode: 32 | Reward: 2157.4915149757653 | Policy Loss: -198.16122436523438 | Batches: 62528
Episode: 33 | Reward: 1288.7586605302185 | Policy Loss: -196.98851013183594 | Batches: 64482
Episode: 34 | Reward: 761.7170685804257 | Policy Loss: -198.5345458984375 | Batches: 66436
Episode: 35 | Reward: 1656.0739020217175 | Policy Loss: -197.75318908691406 | Batches: 68390
Episode: 36 | Reward: 954.1713503671566 | Policy Loss: -190.8085479736328 | Batches: 70344
Episode: 37 | Reward: 399.77063204717825 | Policy Loss: -197.8722381591797 | Batches: 72298
Episode: 38 | Reward: 474.39939981806657 | Policy Loss: -189.27928161621094 | Batches: 74252
Episode: 39 | Reward: 2708.6773580125496 | Policy Loss: -193.7583465576172 | Batches: 76206
Episode: 40 | Reward: 2701.5863911024458 | Policy Loss: -185.75033569335938 | Batches: 78160
Episode: 41 | Reward: 2007.8080938268536 | Policy Loss: -186.0498046875 | Batches: 80114
Episode: 42 | Reward: 2062.0279219311496 | Policy Loss: -188.8472900390625 | Batches: 82068
Episode: 43 | Reward: 2566.55922900744 | Policy Loss: -191.43634033203125 | Batches: 84022
Episode: 44 | Reward: 1754.400925146832 | Policy Loss: -185.15667724609375 | Batches: 85976
Episode: 45 | Reward: 1557.8986393183957 | Policy Loss: -185.71356201171875 | Batches: 87930
Episode: 46 | Reward: 2838.7558924361047 | Policy Loss: -182.54617309570312 | Batches: 89884
Episode: 47 | Reward: 4055.876200866107 | Policy Loss: -183.85829162597656 | Batches: 91838
Episode: 48 | Reward: 2717.599302286945 | Policy Loss: -182.87379455566406 | Batches: 93792
Episode: 49 | Reward: 3618.612089305013 | Policy Loss: -182.18386840820312 | Batches: 95746
Episode: 50 | Reward: 2933.470328374533 | Policy Loss: -177.53604125976562 | Batches: 97700
Episode: 51 | Reward: 2270.3892044456607 | Policy Loss: -177.2829132080078 | Batches: 99654
Episode: 52 | Reward: 3975.426359899323 | Policy Loss: -178.9010772705078 | Batches: 101608
Episode: 53 | Reward: 1983.4538361640014 | Policy Loss: -178.88902282714844 | Batches: 103562
Episode: 54 | Reward: 4632.217710610586 | Policy Loss: -176.48776245117188 | Batches: 105516
Episode: 55 | Reward: 4783.176897792959 | Policy Loss: -176.90301513671875 | Batches: 107470
Episode: 56 | Reward: 4197.057883684573 | Policy Loss: -176.6742706298828 | Batches: 109424
Episode: 57 | Reward: 3543.86584729881 | Policy Loss: -178.17803955078125 | Batches: 111378
Episode: 58 | Reward: 3788.226788909101 | Policy Loss: -179.9368133544922 | Batches: 113332
Episode: 59 | Reward: 3098.124586240606 | Policy Loss: -175.1803741455078 | Batches: 115286
Episode: 60 | Reward: 3187.7101003340063 | Policy Loss: -173.00230407714844 | Batches: 117240
Episode: 61 | Reward: 4069.0248402897028 | Policy Loss: -179.01133728027344 | Batches: 119194
Episode: 62 | Reward: 4612.064900669699 | Policy Loss: -171.5071563720703 | Batches: 121148
Episode: 63 | Reward: 4097.957282138921 | Policy Loss: -174.30783081054688 | Batches: 123102
Episode: 64 | Reward: 3726.779806776884 | Policy Loss: -173.76744079589844 | Batches: 125056
Episode: 65 | Reward: 2972.624829905649 | Policy Loss: -171.93966674804688 | Batches: 127010
Episode: 66 | Reward: 2872.2484240394106 | Policy Loss: -171.809814453125 | Batches: 128964
Episode: 67 | Reward: 5654.513423198422 | Policy Loss: -170.14306640625 | Batches: 130918
Episode: 68 | Reward: 4503.830977361591 | Policy Loss: -172.28884887695312 | Batches: 132872
Episode: 69 | Reward: 5105.9266402374415 | Policy Loss: -174.8658447265625 | Batches: 134826
Episode: 70 | Reward: 4812.066965189382 | Policy Loss: -167.06031799316406 | Batches: 136780
Episode: 71 | Reward: 3095.704734227793 | Policy Loss: -170.92202758789062 | Batches: 138734
Episode: 72 | Reward: 5772.455998553576 | Policy Loss: -173.54010009765625 | Batches: 140688
Episode: 73 | Reward: 3281.1957294820727 | Policy Loss: -171.06590270996094 | Batches: 142642
Episode: 74 | Reward: 4858.298758134495 | Policy Loss: -167.5187530517578 | Batches: 144596
Episode: 75 | Reward: 3216.92813014309 | Policy Loss: -165.21099853515625 | Batches: 146550
Episode: 76 | Reward: 5746.7245693087925 | Policy Loss: -165.8332977294922 | Batches: 148504
Episode: 77 | Reward: 5287.817164033829 | Policy Loss: -161.7792205810547 | Batches: 150458
Episode: 78 | Reward: 3695.6977962786937 | Policy Loss: -170.62982177734375 | Batches: 152412
Episode: 79 | Reward: 4906.544274302766 | Policy Loss: -169.76260375976562 | Batches: 154366
Episode: 80 | Reward: 5691.634023921012 | Policy Loss: -163.34909057617188 | Batches: 156320
Episode: 81 | Reward: 5533.473746057772 | Policy Loss: -164.19656372070312 | Batches: 158274
Episode: 82 | Reward: 5010.8424046381715 | Policy Loss: -163.47970581054688 | Batches: 160228
Episode: 83 | Reward: 5919.204607433124 | Policy Loss: -163.62957763671875 | Batches: 162182
Episode: 84 | Reward: 5868.991302582394 | Policy Loss: -161.27862548828125 | Batches: 164136
Episode: 85 | Reward: 4675.697437453577 | Policy Loss: -165.3806915283203 | Batches: 166090
Episode: 86 | Reward: 5013.785477997264 | Policy Loss: -162.62135314941406 | Batches: 168044
Episode: 87 | Reward: 4815.795097132077 | Policy Loss: -162.55123901367188 | Batches: 169998
Episode: 88 | Reward: 5738.1847119489 | Policy Loss: -160.86648559570312 | Batches: 171952
Episode: 89 | Reward: 4742.394784488568 | Policy Loss: -166.63504028320312 | Batches: 173906
Episode: 90 | Reward: 5786.758372083675 | Policy Loss: -164.24366760253906 | Batches: 175860
Episode: 91 | Reward: 5843.290420637533 | Policy Loss: -161.2420654296875 | Batches: 177814
Episode: 92 | Reward: 5752.243526103343 | Policy Loss: -162.16183471679688 | Batches: 179768
Episode: 93 | Reward: 4728.145346286203 | Policy Loss: -161.5567169189453 | Batches: 181722
Episode: 94 | Reward: 5805.320624819002 | Policy Loss: -163.4842987060547 | Batches: 183676
Episode: 95 | Reward: 5815.005741817009 | Policy Loss: -162.57000732421875 | Batches: 185630
Episode: 96 | Reward: 5921.572500846106 | Policy Loss: -159.39208984375 | Batches: 187584
Episode: 97 | Reward: 5965.926749016886 | Policy Loss: -158.5076141357422 | Batches: 189538
Episode: 98 | Reward: 5868.911026381631 | Policy Loss: -159.29241943359375 | Batches: 191492
Episode: 99 | Reward: 5749.767703167244 | Policy Loss: -163.48638916015625 | Batches: 193446
Episode: 100 | Reward: 5874.157469862143 | Policy Loss: -163.37948608398438 | Batches: 195400
